mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
a-0,CC(C[N-]c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)C,-0.11197159,0.76415459,0.87612618,-65858.66643499
a-1,CC(C[AlH-](c1ccc(cc1)[Si](CCC(F)(F)F)(C)C)CCCCNC(=N)N)C,-1.7590935600000002,1.44678785,3.20588141,-48468.46464952
a-2,OC(=O)CC[C-](c1ccc(cc1)[Si](CCC(F)(F)F)(C)C)Br,-0.19820427000000002,1.66236932,1.86057359,-107423.00624763
a-3,CCCCCCCC[Si](c1ccc(cc1)[GaH-](CCN)CCN)(C)C,-1.57260581,1.43532674,3.00793255,-85451.8028975
a-4,[SbH3-](CN)(S)O,-0.78061583,2.21445128,2.99506711,-194453.2031709
a-5,CCCCCCCC[Si](c1ccc(cc1)[AsH3-](COC(F)(F)F)CCCS)(C)C,-1.08164433,1.17585585,2.25750018,-113285.801274
a-6,CC(CC(S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)(C(=O)[O-])CCCC(C(F)(F)F)(F)F)C,-1.7243277799999999,1.28495916,3.00928694,-66469.96210317
a-7,NCCC[TaH3-](S(=O)(=O)C)CCCCNC(=N)N,-1.434153,1.05548014,2.48963314,-467915.12265038
a-8,NC(=N)NCCCC[GaH-](S(=O)(=O)C(F)(F)F)S(=O)(=O)F,-2.7901586,1.1537821799999999,3.94394078,-104917.32482283
a-9,SCCC[SbH3-](C(F)(F)F)c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-1.59091191,0.56850993,2.15942184,-250060.18599684
a-10,I[N-]CCCCNC(=N)N,1.23168098,1.72296116,0.49128018,-207932.45822101
a-11,CCCCCC[GaH-](CC(C)C)C,-0.96251576,2.2059294,3.16844516,-65009.62012257
a-12,CCC[C-](c1ccc(cc1)[Si](CCCCCCCC)(C)C)CCC(=O)O,0.25846708,1.3680342699999999,1.10956719,-36480.22848396
