mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
c-0,CCCCCCCC[NH+]1CC(CCCCS(=O)(=O)O)CCC1C(C(=O)OCC)C,-9.50323819,-4.34292412,5.16031407,-46132.31814534
c-1,CCCCCOC(=O)Cc1nn(c(=[NH2+])n1CC(OC(=O)CS)COC(=O)CS)C(C(F)F)(F)F,-8.68643934,-5.08980365,3.5966356900000003,-69984.90475737
c-2,CCCCCCCCOCn1ncn(c1=[NH+]CCOCCCCC)C(CC(C)C)(CO)C,-9.0692426,-4.35613669,4.71310591,-38851.11195588
c-3,OCCOCC[S+](COC)CCOCC(F)(F)F,-9.09422868,-5.2651621,3.82906658,-37916.76115212
c-4,OC(=O)C(C(C(C(=O)[NH+]=c1n(ncn1c1ccncc1)C(=O)C)(F)F)(F)F)(F)F,-9.47834445,-7.65822211,1.8201223400000002,-46634.2182872
c-5,CCSc1nnc(o1)C1(CNC(=[NH+]CCCC#C)N1)CC(=O)c1ccccc1,-8.30818309,-5.45405703,2.85412606,-43546.14581938
c-6,Cc1ccc(c(c1)OCC1C(CCC[NH+]1c1ccncc1)CCO[Si](C)(C)C)C(C)C,-7.74079814,-5.73639684,2.0044013,-42597.94851927
c-7,C#CC1CC([N+](=C1)CCC(F)(F)F)c1ccccc1,-9.83563492,-7.34440098,2.49123394,-25437.46520903
c-8,Cc1ccc(cc1)CC1CCCC([NH+]1CCC(F)(F)F)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-9.27987751,-4.86109035,4.41878716,-81117.93481921
c-9,CCCCCOCC[S+](CCCCS(=O)(=O)O)CCCN,-8.8970476,-4.89479724,4.00225036,-46470.98702474
c-10,CCOP(=O)(OCC)CCCc1n[nH]c([n+]1C#C)c1ccccc1,-8.5970591,-6.69349041,1.9035686900000002,-37931.16631352
c-11,CCCCCCCCCCCCCCCC1CCN(C(=[NH+]CCCP(=O)(OCC)OCC)N1)CC(=O)c1ccccc1,-8.18202418,-5.9717851,2.21023908,-58228.26063984
c-12,CCCCCCCCCCCCCC[S+](CCOCCOC)CCCCCCCCCCC,-8.05758688,-4.81881539,3.23877149,-47098.7765478
c-13,ON(C1OC[NH+](C1CCCCn1cccc1)COc1cc(C)ccc1C(C)C)O,-6.89237612,-4.30322898,2.58914714,-36018.38203868
c-14,CCCCCCCCCOC[N+](=C1NCOC(N1)CC)Cc1cccc(c1)C,-8.87140136,-4.56521229,4.30618907,-33060.2947225
c-15,CCCCn1nc([nH+]c1CCCSC(=S)N(CCCCCCCC)CCCCCCCC)c1ccccc1OC,-6.84005015,-5.42597913,1.41407102,-64904.99573609
c-16,CCCCCCCCCCCCCC1[NH2+]CC(CC1CCCCC)CCCC,-8.65808326,-4.72637367,3.93170959,-30390.86453669
c-17,CCOC(=O)Cc1ccc2c(c1CC(CO)O)cc([nH+]c2)CCC,-8.86057931,-6.64944796,2.21113135,-29801.70800588
c-18,CCCCCCOCC1CNC(=[NH+]CCOCCO)N(C1)COCCCC,-8.63641129,-4.46055725,4.17585404,-34078.51390283
c-19,O=C(Nc1ccccc1)CCC1SC=[NH+]C1(COc1cc(C)ccc1C(C)C)Cc1ccc(cc1)C,-7.6692331,-6.76507267,0.90416043,-50694.37313027
c-20,CCCC[PH+](c1ccncc1)CCCC(=O)O,-9.23970089,-6.00224756,3.23745333,-28722.83600163
c-21,CCOC(=O)C1CC[NH+](C1CCCC(=O)O)C(CO)CC,-8.69548715,-4.54118298,4.15430417,-27734.93283832
c-22,CCCCCCCCCCCCC1NCC[NH+](C1CC(O)C)CCO[Si](C)(C)C,-8.51020864,-3.60845139,4.90175725,-40720.43065121
c-23,CCCCCOCCC1OC[NH2+]C1(CCCCCN)c1ccccc1OC,-7.43576002,-4.78140695,2.65435307,-32563.68379381
c-24,CCOC(=O)C(C1(CCCS(=O)(=O)O)CCC[NH+]1C)C,-9.80626824,-4.68339108,5.12287716,-36507.38133731
c-25,CCCCCCOC[N+](=c1[nH]cnn1CC(=O)OCCCCC)CC(CNCCO)O,-8.42058101,-4.63771138,3.78286963,-40144.32516699
c-26,CCCC[S+](CC(CO)O)C,-9.67317378,-5.4508047,4.22236908,-23571.82098511
c-27,C=CC(=O)OCCCCCCC1C(CC[NH+]1c1ccccc1OC)Cc1ccccc1C,-7.82240661,-5.01236639,2.81004022,-37278.80271211
c-28,CCCCCCCCCOCC1[NH2+]CC(C1c1nnc(o1)SCC)CCCSC(=S)N(c1ccccc1)c1ccccc1,-6.45592002,-4.85817011,1.59774991,-78736.19206689
c-29,C#CCCCC1NC(=[NH+]CCCS(=O)(=O)O)NC1CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-8.87987695,-4.83482064,4.04505631,-63964.71387997
c-30,NCCCc1nnn([n+]1CC#C)N,-9.48614716,-7.05852164,2.42762552,-16400.67906149
c-31,CCCCCCOCC1OCC[NH+](C1Cc1ccccc1C)CC(OCc1ccccc1)C,-8.71882569,-4.13478132,4.58404437,-38412.83662454
c-32,CCC[N+](=c1[nH]cnn1c1ccccc1OC)COCCCCCCC,-8.67911303,-4.95826605,3.72084698,-31325.20968301
c-33,CCCCCCCCCCCCOC[S+](CC(CN)O)CCCCCCCCCCCCn1cccc1,-5.88955239,-5.24274647,0.64680592,-52152.85728393
c-34,COC(=O)C[NH+](CC(C(F)(F)F)O)CC,-10.88186707,-5.55941358,5.32245349,-24327.06806784
c-35,C#CCCC[NH+](CCC(=O)Nc1ccccc1)CCc1ccccc1,-8.5696236,-4.91082268,3.65880092,-28271.41240313
c-36,OCCNCC(CC1(CCO)NC(=[NH2+])NC1CCO)O,-7.83950087,-4.28393693,3.55556394,-27030.82642449
c-37,CCCCCCCSc1nnc(o1)C1[NH2+]C(CNC1CC1CO1)c1ccccc1OC,-8.20000457,-4.75562348,3.4443810900000003,-47393.60419825
c-38,CCCCSc1nnc(o1)[NH+](C(=O)C)CCC(CCC=C(C)C)C,-7.54101746,-6.76944366,0.7715738,-38622.11549724
c-39,COCCOCCOCC[n+]1ccc2c(c1C(=O)OCC)cccc2C=C,-7.61094309,-6.71452469,0.8964184,-33952.82676495
c-40,CCCCCCCCCCC1(CNC(=[NH+]CCC(F)(F)F)NC1)CC(=O)OCCCCCCCC,-8.77834887,-4.5195818,4.25876707,-45547.38286146
c-41,OCCNCC(C[NH+]=C1NCOC(N1CC(CN)O)C(C(F)F)(F)F)O,-7.91932948,-5.12360615,2.79572333,-40417.85542204
c-42,CCCCCCCCCCCOC[NH+]=C1NC(CCCSC(=S)N2CCOCC2)CC(N1)Cc1ccc(cc1)C,-7.05662768,-4.4657118,2.59091588,-65883.99439769
c-43,CCCCCCC[PH+](Cc1ccccc1)CCC(C(Br)(F)F)(Br)F,-9.42999926,-4.94330489,4.48669437,-179381.8673128
c-44,CCCCCCCCCCCCc1[nH+]cc2c(c1C(=O)OCCCC)c(ccc2)CC(C(F)(F)F)O,-8.52881283,-6.87864435,1.65016848,-46557.51063428
c-45,CCCCCCCCN(C(=S)SCCCC1C[NH2+]C(C(N1)CCCCCCCCCCCCn1cccc1)C=C)CCCCCCCC,-5.79144583,-5.10174243,0.6897034,-72545.05678606
c-46,CCCCCOCCc1c[nH+]cc2c1ccc(c2CC1OC1)COCC,-8.40702077,-6.80365174,1.60336903,-30959.04126784
c-47,NCCCCC1OC(CCCCCCCCCC)NC(=[NH+]CC(OC(=O)CS)COC(=O)CS)N1,-7.98398314,-4.73479443,3.24918871,-63605.02107618
c-48,CCOC(=O)c1[nH]c[n+](c1N)CC(=O)OC,-9.51187868,-5.98685673,3.52502195,-22218.76149049
c-49,CCCCCCCCCCCCCCN1COCNC1=[N+](CCOC(=O)CCC)CCF,-8.2843612,-4.88134555,3.40301565,-40047.52396197
c-50,OCCC1C(CC[NH+]1CCOCCOCCOC)CC(=O)OCC,-8.07769826,-3.81138309,4.26631517,-31952.32106761
c-51,OCCOCCC1C(OCC[NH+]1CC(=O)c1ccccc1)CC(=O)OCCCCC,-8.29960211,-6.3759062,1.9236959100000002,-38205.76889932
c-52,CCCCCCCCCCCCCCCCCCCC[NH+](c1nnc(o1)SCCCCCCC)CC(OC(=O)CS)COC(=O)CS,-7.80970687,-5.25291575,2.5567911199999998,-85775.28789044
c-53,CC(=O)c1c[n+](CCCCC)cc2c1ccc(c2)C#C,-9.25432348,-7.21434784,2.03997564,-22518.71123662
c-54,CCCCCCC[N+](=c1[nH]nc([nH]1)C)CC(=O)OC,-9.501665299999999,-5.17648486,4.3251804400000005,-23937.64071508
c-55,CCCCCCCCCCCCCc1ccc(c2c1c([nH+]cc2)C(=O)C)c1nnc(o1)SCCCCCCC,-8.158490369999999,-7.12127477,1.0372156,-54469.49841037
c-56,CCCCCCCCCCCOCc1nn(c[n+]1CCOCCOC)CCP(=O)(OCC)OCC,-8.37533434,-4.9841060200000005,3.39122832,-52827.22919402
c-57,CCCCCCCCOCc1cc([nH+]nc1COCCCCCCCCCC)CC(=O)OCCCCCC,-8.45115408,-7.00913258,1.4420215,-45306.53318693
c-58,CCCCC1COC(C[NH+]1CCOCC(F)(F)F)N(N)N,-9.08426372,-4.5028004500000005,4.58146327,-31073.729939
c-59,CCOCC1(CCOCC(F)(F)F)[NH2+]CCC(C1)CCCCS(=O)(=O)O,-8.95166132,-4.01898746,4.9326738599999995,-47857.92426514
c-60,CCCCCCCCOCc1[nH+]ncc(c1C(CO)CC)CC(C(F)(F)F)O,-9.1984937,-6.97423706,2.22425664,-38567.15794001
c-61,OCCNCC(C[NH+]1CC(CC1CCOCCCCC)CC(OC(=O)CS)COC(=O)CS)O,-7.78548479,-3.97865949,3.8068253,-63649.93950159
c-62,CCCCCCCCCCOC[n+]1c(n[nH]c1CCCSC(=S)N(CC)CC)CC(C(F)(F)F)O,-8.24141702,-5.12463157,3.11678545,-65569.36074078
c-63,CCCCCOC(=O)CC1NC(=[NH2+])NC1(CCCNCc1ccccc1O)CCO[Si](C)(C)C,-7.11246363,-4.45080261,2.66166102,-48706.00888012
c-64,COCn1c[n+](c(n1)CC(=O)OCCCCCCCC)CCOCCO,-8.88253585,-5.54224237,3.34029348,-33922.59069949
c-65,CCCCCCCCCCCCCCN1C(=[NH2+])NCC1(COCCCCCCCCCCC)[Si](C)(C)C,-8.36998971,-4.49158312,3.87840659,-48701.45543026
c-66,CCCCCCCCCCCCCCC[NH+](CC(=O)OCC)I,-8.35860995,-8.195354,0.16325595,-222506.99956413
c-67,N[NH+]=C(N(CC(O)C)CCCCCCCCCCCCn1cccc1)N,-5.84159922,-4.94543163,0.89616759,-30881.57433172
c-68,CCCCN(C(=S)SCCCn1nnc([n+]1CCCCS(=O)(=O)O)C(C(F)F)(F)F)CCCC,-7.30469896,-7.02869011,0.27600885000000003,-77356.69511868
c-69,CCCCCCCCCCCCCCCCCCCC[N+]1(CCCCCCC)CCCC(C1)COCC,-7.76694705,-3.44881891,4.31812814,-40994.13330777
c-70,CCOCC[S+](CCCCS(=O)(=O)O)CCOCCOc1ccc(cc1)C(CC(C)(C)C)(C)C,-7.07825624,-5.24393208,1.83432416,-61762.35657326
c-71,CCCCCOCCc1[nH+]c([nH]c1CC(CO)O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-8.54471039,-5.28160195,3.26310844,-66704.08070695
c-72,CCOP(=O)(CCc1nn(c[n+]1C(C(F)F)(F)F)CCCC(=O)O)OCC,-9.12403807,-6.11370306,3.01033501,-49798.63927296
c-73,COc1ccccc1c1cc(c[nH+]c1CCOCC(C(C(C(F)F)(F)F)(F)F)(F)F)CC1CO1,-8.45468106,-6.6521678699999995,1.80251319,-52552.83985873
c-74,CCCCCOCCC1(N)[NH2+]CCNC1CCCSC(=S)N(CC)CC,-7.43035009,-4.11884754,3.31150255,-50128.03850306
c-75,CCOC(=O)[NH+]1C(CCCC1CC(CO)O)CCC(=C(F)F)F,-8.619637,-5.56288669,3.05675031,-33794.83565687
c-76,CCCCN(C(=S)SCCCC1C=[NH+]C(C1CC(=O)OC)CC(O)C)CCCC,-7.19348664,-6.86268914,0.33079749999999997,-54355.13697287
c-77,CCCCCCCCCCCCCCCCCCCCC1CC([N+](=C1)CCCC)CCCCCC,-7.71407129,-6.6925123,1.02155899,-37842.72110957
c-78,CCC[S+](Cc1ccc(cc1)C)CC(C)C,-9.18228774,-5.20159487,3.98069287,-26831.30733312
c-79,CCCCCOC[NH+](CC(=O)OCCC)CC(CC)C,-9.98639062,-4.69290914,5.29348148,-24772.0029597
c-80,CCCCSc1nnc(o1)c1nnn([n+]1CCCP(=O)(OCC)OCC)c1ccncc1,-8.84281285,-6.94674513,1.89606772,-58990.59084192
c-81,NCC[NH+]1COCC1(CC(O)C)C(C(C)C)(CO)C,-9.31690404,-3.82530393,5.49160011,-24138.87310918
c-82,CCCC[NH+]=C1NCCC(N1CCC(=O)Nc1ccccc1)CC1OC1,-7.80132179,-4.25636008,3.54496171,-31293.4567436
c-83,CCCCCc1cc[n+](c(c1)N(C)C)CC(CO)O,-9.05191507,-6.11865072,2.93326435,-23062.9988719
c-84,C=CC[NH+](CCC(=C(F)F)F)COCCCCCCCC,-9.14837062,-5.26940642,3.8789642,-28750.39048942
c-85,CC(CC)C[PH+](C=C)CC=C,-10.24517609,-6.25297229,3.9922038,-20006.73235484
c-86,CCCCCCCCCCCCCn1cc([nH+]c1C(CO)C)COCCCCCCC,-8.34041192,-5.02808625,3.31232567,-35928.09068548
c-87,CCC[PH+](C(C(=O)OCC)C)CCOCC(F)(F)F,-10.0499639,-4.89995019,5.15001371,-36435.7387965
c-88,CCCCCCn1nc[nH]c1=[N+](C(C(F)F)(F)F)CCF,-10.05812528,-6.13029143,3.92783385,-32320.32919596
c-89,CCCCCCCCCCCCCC[NH+]1C(CCOC(=O)CCC)OCC1C,-8.39317303,-4.31990508,4.07326795,-33293.85694673
c-90,FCC[PH+](Cc1cccc(c1)C)C=C,-9.16738897,-6.20134369,2.96604528,-24752.08036365
c-91,C#CCC1CC(C[NH+]1CCC(CCC=C(C)C)C)CC(C)C,-7.90735246,-4.11563058,3.79172188,-23874.15212821
c-92,NCCCCc1[nH+]c(nn1N)CCCC(=O)O,-8.16153024,-5.24482533,2.91670491,-22236.15340908
c-93,CCOC(=O)Cc1nnn([n+]1CCN)C(=O)OCC,-9.71825898,-7.13479354,2.58346544,-26298.67344759
c-94,C=CCn1c(COCCCC)nn(c1=[NH2+])CCF,-9.43097066,-5.11181761,4.31915305,-23522.48651389
c-95,CCCCCCCCc1ccc[n+](c1C(=O)C)c1nnc(o1)SCCCCCCC,-8.66075796,-7.63228571,1.02847225,-44941.13726591
c-96,CCCCCCCCCCCCCCc1n(CC#C)c[nH+]c1C(C(F)F)(F)F,-8.49430002,-5.96658479,2.52771523,-37230.43246749
c-97,CCCCC1[NH+]=C(C(C1)CCOCCO)COCCCCCCCCC,-8.82492484,-6.19761173,2.6273131100000002,-31155.52934092
c-98,CCCCCCCCCC1NC(=[NH+]CCOCC)NCC1C,-8.86477431,-4.3078173,4.55695701,-25795.77744059
c-99,CCCCCCCCCCCCCCCCCCCC[PH+](C(=O)OCCCC)C=C,-7.8383142,-6.42613522,1.41217898,-42284.49836898
c-100,CCCCCCCCCCC1OCN(C(=[NH+]c2nnc(o2)SCC)N1)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-8.65456311,-5.81648911,2.8380739999999998,-95078.60889896
c-101,CCCCOCn1ncn(c1=[NH+]CCCSC(=S)N1CCOCC1)CC(CO)O,-7.24394183,-4.53591921,2.70802262,-56611.9576143
c-102,COCCOCCC1(CNC(=[NH+]C(CC(C)C)(CO)C)N1)CC(=O)OCC,-7.59564694,-4.4027137,3.19293324,-35024.55124119
c-103,OCCn1nnc([n+]1CCC(F)(F)F)CC#C,-9.99334913,-7.36208983,2.6312593,-25685.26582398
c-104,CCN(C(=S)SCCCc1cn[n+](cc1CC(=CBr)Br)[Si](C)(C)C)CC,-7.27152186,-6.642861,0.62866086,-196080.51400188
c-105,NCCC1=[NH+]C(CS1)(CCCS(=O)(=O)O)CC(C(F)(F)F)O,-9.6545513,-6.11788675,3.5366645500000002,-52816.21482586
c-106,CCCCCOCC1CC(CCCF)[NH2+]CC1CCCSC(=S)N(CCCC)CCCC,-8.04050416,-4.66217616,3.3783279999999998,-57304.52313481
c-107,CCCOCc1nn(c(=[NH+]CCOCCOCCOC)[nH]1)CCCCCCCCCCC,-7.58613731,-4.44085802,3.14527929,-39829.11488749
c-108,CC(CC1(CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CNC(=[NH+]CC2CO2)N1)O,-9.26790162,-4.92910859,4.33879303,-48932.0342798
c-109,C=CCc1[nH]c([nH+]c1CCCCCCCCCCCCn1cccc1)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-6.19112408,-6.1654994,0.02562468,-82371.76156522
c-110,CCCCN(C(=O)CC1OCN(C(=[NH+]CC(=O)OCCC)N1)CC(O)C)C,-8.07407829,-5.03365232,3.04042597,-35430.80908246
c-111,COc1ccccc1[NH+](Cc1ccccc1C)CCCSC(=S)N1CCOCC1,-8.35088019,-4.93835388,3.41252631,-53179.95657742
c-112,C#CCCCN1C(OC(NC1=[NH2+])CC(=O)c1ccccc1)Cc1ccccc1C,-8.59792224,-5.6976295,2.9002927400000003,-33900.17737887
c-113,CCCCCCCCCCCCC1OCC[NH+](C1CCC)COCCCCC,-8.4053481,-3.96308086,4.44226724,-32347.73672353
c-114,CCSc1nnc(o1)c1[nH+]cc(cc1Cc1cccc(c1)C)CCCCS(=O)(=O)Cl,-8.72104572,-7.07738558,1.6436601400000002,-67127.03022228
c-115,CCCCCCC[n+]1ccc(c(c1)C=C)CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-9.65453328,-6.81289617,2.8416371099999997,-73007.57231818
c-116,OCC(C[PH+](CCCc1ccccc1)CCCCCCOC(=O)C=C)O,-8.22880541,-4.5706649200000005,3.65814049,-39833.98654592
c-117,CCCCCCOC(=O)CN1CCNC1=[N+](CCCCS(=O)(=O)Cl)N,-9.36580035,-4.90776878,4.45803157,-53648.06803627
c-118,CCCCCCC[S+](C(=O)OCC)CCC(C(Br)(F)F)(Br)F,-9.80296468,-6.16902581,3.63393887,-180839.35912669
c-119,CCOCC[S+](CCCS(=O)(=O)O)CCCCCCCCCCCCn1cccc1,-5.84640977,-5.27222239,0.57418738,-55997.19407277
c-120,C=CN1C(C(NC1=[NH2+])C)C(C(F)F)(F)F,-10.01314273,-5.8499209400000005,4.16322179,-23832.67661445
c-121,CCCCCOC(=O)CC1(CSC(=[NH+]1)CCOCC(F)(F)F)CC(CBr)Br,-9.2632806,-6.58987646,2.67340414,-187538.87268839
c-122,C=CC[n+]1cn(cc1CCCCS(=O)(=O)Cl)CC(CC)C,-9.54069917,-5.63027496,3.91042421,-46504.21946566
